writer
A.A. Milne
Ann Peacock
Anna Biller
Anna Boden
Anna Campion
Anna Ekberg
Anna Leonowens
Anna Muylaert
Anna Quindlen
Anna Sewell
Anna Todd
Anne Fine
Anne Fontaine
Anne Rapp
Anne Rice
Annie Mumolo
Annie Proulx
Anonymous
Anouk Whissell
Anthony Abrams
Anthony Bodden
Anthony Byrne
Anthony Hayes
Anthony Horowitz
Anthony Jaswinski
Anthony McCarten
Anthony Minghella
Anthony Peckham
Anthony Russo
Anthony Scott Burns
Anthony Shaffer
Anthony Tambakis
Anthony Weintraub
Antonin Baudry
Antonio Campos
Antonio Skármeta
Antti J. Jokinen
Antwone Fisher
Anubhav Sinha
Anup Bhandari
Anurag Basu
Anurag Kashyap
Anvita Dutt
Anya Kochoff
Aoi Hiiragi
April Prosser
Aram Rappaport
Arash Amel
Ari Aster
Ari Schlossberg
Ariana Godoy
Ariane Fert
Ariel Dorfman
Arif Aliev
Arijit Biswas
Arjun Dhawan
Arleen Sorkin
Armando Iannucci
Armistead Maupin
Arnaud Bordas
Arne Schmidt
Arnold Bucher
Arnold Perl
Aron Gaudet
Art Linson
Art Marcum
Art Monterastelli
Arthur Brooke
Arthur Miller
Arturo Pérez-Reverte
Arun Anirudhan
Aseem Arrora
Asghar Farhadi
Ashleigh Powell
Ashley Miller
Ashutosh Gowariker
Assaf Bernstein
Atakhan
Atlee
Atom Egoyan
Atul Kulkarni
Audrey Diwan
Audrey Wells
August Wilson
Auguste Le Breton
Austin Bunn
Ayman Jamal
Aytaç Agirlar
Ayub Khan-Din
Azie Faison Jr.
B.J. Novak
Babak Anvari
Bahman Ghobadi
Barbara Alberti
Barbara Marshall
Bareilly Ki Barfi
Bari Wood
Barry Battles
Barry Berman
Barry Fanaro
Barry Gifford
Barry Jenkins
Barry L. Levy
Barry Levinson
Barry W. Blaustein
Barry Wernick
Barry Wong
Bart De Pauw
Bart Freundlich
Bart Layton
Bart Millard
Bastian Zach
Bathsheba Doran
Baz Luhrmann
Beau DeMayo
Beau Thorne
Beau Willimon
Becky Albertalli
Becky Johnston
Behzad Khambata
Bekah Brunstetter
Ben Affleck
Ben Best
Ben Chandler
Ben Collins
Ben Court
Ben Fountain
Ben Lewin
Ben Lustig
Ben Power
Ben Ramsey
Ben Ripley
Ben Wheatley
Ben York Jones
Ben Young
Ben Younger
Ben Zazove
Benazir Ali Fida
Benedek Fliegauf
Benedict Fitzgerald
Benedikt Erlingsson
Benjamin August
Benjamin Cleary
Benoît Graffin
Bernard Rose
Bernard Waber
Bernardo Bertolucci
Bernd Eichinger
Bernd Lichtenberg
Bert V. Royal
Bess Wohl
Bethany Ashton Wolf
Betsy Giffen Nowrasteh
Betty Mahmoody
Beverly D'Onofrio
Bharathan
Bhavesh Mandalia
Bill Collage
Bill Condon
Bill Dubuque
Bill Holderman
Bill Kelly
Bill Lancaster
Bill Lishman
Bill Marsilii
Bill Naughton
Bill Wolff
Bille August
Billy Bob Thornton
Billy Crystal
Billy Eichner
Billy Moore
Billy O'Brien
Billy Ray
Biswapati Sarkar
Blair Butler
Blair Cobbs
Blake Edwards
Blake Masters
Blake Snyder
Bo Burnham
Boaz Davidson
Boaz Yakin
Bob Barlen
Bob Conte
Bob DeRosa
Bob Dolman
Bob Fisher
Bob Gale
Bob Kane
Bob Krakower
Bob Logan
Bob Martin
Bob Nelson
Bob Peterson
Bob Tzudiker
Bobcat Goldthwait
Bobs Gannaway
Bodil Steensen-Leth
Bong Joon Ho
Bonnie Hunt
Bonnie Turner
Boots Riley
Bora Dagtekin
Boris Khaimsky
Borja Cobeaga
Boyapati Srinu
Brad Anderson
Brad Bird
Brad Copeland
Brad Desch
Brad Gann
Brad Ingelsby
Brad Mirman
Brad Miska
Brad Silberling
Bradley King
Brady Corbet
Bragi F. Schut
Bram Stoker
Brandon Boyce
Brandon Camp
Brandon Cournoyer
Brandon Cronenberg
Brenda Chapman
Brendan Hood
Brendan O'Brien
Brent Dillon
Brent Goldberg
Brent Hanley
Bret Easton Ellis
Brett Haley
Brett Halliday
Brett Pierce
Brian Aldiss
Brian Azzarello
Brian Burns
Brian De Palma
Brian DeCubellis
Brian Duffield
Brian Fee
Brian Gatewood
Brian Goodman
Brian Gunn
Brian Helgeland
Brian Kehoe
Brian King
Brian Klugman
Brian Koppelman
Brian Lynch
Brian Miller
Brian Nelson
Brian Owens
Brian Peterson
Brian Selznick
Brian Sieve
Brian Taylor
Brian Tucker
Brigitte Hales
Brock Norman Brock
Brooks Arthur
Brooks McLaren
Bruce A. Evans
Bruce Feirstein
Bruce Geller
Bruce Joel Rubin
Bruce Porter
Bruce Robinson
Bruce Timm
Bruce Wagner
Bruce Willis
Bruno Samper
Bryan Bertino
Bryan Sipe
Bryan Woods
Bryce Courtenay
Burk Sharpless
Burr Steers
Buzz Bissinger
Byeong-sik Jung
Byron Howard
Byron Willinger
C. Jay Cox
Çagan Irmak
Callie Khouri
Callie Kloves
Cam Cannon
Cameron Crowe
Camille Griffin
Captain Mauzner
Cara J. Russell
Caradog W. James
Carey Van Dyke
Carey W. Hayes
Carl Binder
Carl Ellsworth
Carl Lund
Carl V. Dupré
Carlo Allen
Carlo Bernard
Carlo Collodi
Carlo Mirabella-Davis
Carlos Cuarón
Carlos Saldanha
Carlton Cuse
Carlyle Eubank
Carol Doyle
Carol Fuchs
Carol Heikkinen
Caroline Labrèche
Caroline Link
Caroline Thompson
Carrie Fisher
Carrie Lee Wilson
Cary Joji Fukunaga
Cary Murnion
Caryl Ferey
Casey Affleck
Caspian Tredwell-Owen
Castle Freeman Jr.
Cate Shortland
Catherine Breillat
Catherine Hardwicke
Catherine Johnson
Catherine Ryan Hyde
Cathy Cash Spellman
Cédric Klapisch
Celeste Ballard
Céline Sciamma
Celyn Jones
Cem Yilmaz
Chad Gomez Creasey
Chad Hayes
Chad Hodge
Chad Kultgen
Chad Law
Chad St. John
Chandoo Mondeti
Chandra Prakash Dwivedi
Chantavit Dhanasevi
Chap Taylor
Charise Castro Smith
Charles Addams
Charles B. Wessler
Charles Belden
Charles Bukowski
Charles Cumming
Charles Dickens
Charles F. Bohl
Charles Frazier
Charles Gieg Jr.
Charles Graeber
Charles Leavitt
Charles Martin Smith
Charles McKeown
Charles Randolph
Charles S. Haas
Charles Shyer
Charles Williams
Charley Parlapanides
Charlie Bean
Charlie Brooker
Charlie Kaufman
Charlie McDowell
Charlie Peters
Charlie Wachtel
Charlotte Wells
Charu Gupta
Chase Palmer
Chazz Palminteri
Che-Wei Chang
Cheng Ah
Cheol-Hong Jeon
Cheryl Guerriero
Cheryl McKay
Chester Gould
Chia-Lu Chang
Chiwetel Ejiofor
Chloe King
Chloé Zhao
Choderlos de Laclos
Chris Appelhans
Chris Borey
Chris Bowman
Chris Brancato
Chris Butler
Chris Carter
Chris Charles
Chris Chow
Chris Colfer
Chris Columbus
Chris Fedak
Chris Fuhrman
Chris Galletta
Chris Gorak
Chris Hauty
Chris Henchy
Chris Kelly
Chris Kentis
Chris Kobin
Chris Lee Hill
Chris Marker
Chris Matheson
Chris McCoy
Chris McKenna
Chris Miller
Chris Morgan
Chris Pappas
Chris Pare
Chris Provenzano
Chris Radant
Chris Rock
Chris Roessner
Chris Sanders
Chris Shafer
Chris Silber
Chris Sparling
Chris Terrio
Chris Titone
Chris Van Allsburg
Chris Weitz
Chris Williams
Christian Cantamessa
Christian Carion
Christian Clavier
Christian Gudegast
Christian Long
Christian Petzold
Christian Tafdrup
Christian Volckman
Christian Zübert
Christie LeBlanc
Christina Hodson
Christina Mengert
Christina Ray
Christina Strain
Christina Welsh
Christine Leunens
Christophe Dirickx
Christopher Bertolini
Christopher Bram
Christopher Caldwell
Christopher Cleveland
Christopher Crowe
Christopher Dodd
Christopher Ford
Christopher Grøndahl
Christopher Guest
Christopher Hampton
Christopher Isherwood
Christopher Kubasik
Christopher Kyle
Christopher L. Yost
Christopher Landon
Christopher Markus
Christopher McQuarrie
Christopher Morris
Christopher Murphey
Christopher Nolan
Christopher Roach
Christopher Robbins
Christopher Smith
Christy Beam
Chuan Lu
Chuck Barris
Chuck Hogan
Chuck Palahniuk
Chuck Pfarrer
Cibi Chakravarthi
Cinco Paul
Ciro Guerra
Claire Cook
Claire Denis
Clarence Budington Kelland
Clark Duke
Clark Gregg
Claude Berri
Claude Chabrol
Claude Magnier
Claude Sautet
Claude Stanush
Claus Falkenberg
Clay Tarver
Clayton Frohman
Clea DuVall
Cliff Hollingsworth
Cliff Ruby
Clio Barnard
Clive Barker
Clive Cussler
Colin Minihan
Colin Patrick Lynch
Coline Serreau
Collin Friesen
Colm Bairéad
Conor McMahon
Cooper Layne
Cooper Raiff
Coralie Fargeat
Corin Hardy
Cormac McCarthy
Cormac Wibberley
Cornell Woolrich
Cory Finley
Cory Goodman
Costa-Gavras
Court Crandall
Courtney Hunt
Courtney Solomon
Craig Borten
Craig Brewer
Craig Cox
Craig Johnson
Craig Luck
Craig Mazin
Craig Moss
Craig Pearce
Craig Rosenberg
Craig Schulz
Craig Shilowich
Craig Titley
Craig Zobel
Creighton Rothenberger
Crispian Mills
Cristi Puiu
Cristian Mungiu
Cuca Canals
Cunningham O'Keefe
Cyril Hume
D. Kerry Prior
D.B. Weiss
Dalan Musson
Dale Launer
Damian Nieman
Damian O'Donnell
Damien Chazelle
Damien Leone
Damon Lindelof
Dan Berk
Dan Brown
Dan Bulla
Dan Chariton
Dan Ewen
Dan Fogelman
Dan Futterman
Dan Gilroy
Dan Gordon
Dan Gregor
Dan Hageman
Dan Harmon
Dan Harris
Dan Hernandez
Dan Kay
Dan Lagana
Dan Madigan
Dan Mazeau
Dan Mazer
Dan O'Bannon
Dan Rosen
Dan Scanlon
Dan Schaffer
Dan Schneider
Dan Sterling
Dana Fox
Dana Stevens
Daniel Barnz
Daniel Casey
Daniel Clay
Daniel Clowes
Daniel Cohen
Daniel Coyle
Daniel Defoe
Daniel Domscheit-Berg
Daniel E. Taylor
Daniel Espinosa
Daniel F. Galouye
Daniel Farrands
Daniel G. Sullivan
Daniel Gilboy
Daniel Hardy
Daniel Kunka
Daniel Kwan
Daniel Lee
Daniel Mackey
Daniel Myrick
Daniel Pennac
Daniel Pyne
Daniel Ribeiro
Daniel Schechter
Daniel Scheinert
Daniel Stiepleman
Daniel Taplitz
Daniel Vigne
Daniel Wallace
Daniel Waters
Daniel Woodrell
Daniele Sebastian Wiedenhaupt
Danielle Alexandra
Danielle Krudy
Danilo Bach
Danis Tanovic
Danny Bilson
Danny Boyle
Danny King
Danny McBride
Danny Rubin
Danny Strong
Dany Boon
Darcey Bell
Darcy Frey
Darcy Meyers
Darin J. Sallam
Dario Argento
Dario Poloni
Dario Scardapane
Darius Marder
Darnell Martin
Darren Aronofsky
Darren Lemke
Darren Smith
Darren Stein
Darryl Quarles
Dave Barry
Dave Callaham
Dave Chappelle
Dave Eggers
Dave Franco
Dave Gibbons
Dave Grohl
Dave Payne
Dave Stevens
David Arata
David Atkins
David Auburn
David Ayer
David Baldacci
David Benioff
David Berenbaum
David Birke
David Bourla
David Branson Smith
David Brin
David Bruckner
David Caspe
David Chase
David Chirchirillo
David Coggeshall
David Cohen
David Collard
David Cronenberg
David Desola
David Diamond
David DiGilio
David Dorfman
David E. Kelley
David E. Peckinpah
David E. Talbert
David Elliot
David Farr
David Feeney
David Finkel
David Flebotte
David Foenkinos
David Franzoni
David Gilbert
David Giler
David Gleeson
David Golden
David Gordon Green
David Griffiths
David Grovic
David Guggenheim
David Guion
David H. Steinberg
David Hare
David Harrower
David Henry Hwang
David Howard
David Hubbard
David I. Stern
David Ives
David J. Burke
David J. Schow
David Jacobson
David Kajganich
David Kendall
David Kessler
David Kirschner
David Klass
David Koepp
David Lagercrantz
David Leslie Johnson-McGoldrick
David Levien
David Lindsay-Abaire
David Loucka
David Loughery
David Lowery
David Lynch
David Magee
David Mamet
David Marconi
David Marmor
David Marqués
David McKenna
David Michôd
David Mickey Evans
David Mitchell
David Moreau
David N. Weiss
David N. White
David Nicholls
David O. Russell
David Prior
David Rabe
David Raymond
David Robert Mitchell
David Robinson
David Rose
David Ross
David S. Goyer
David S. Ward
David Scarpa
David Schmidt
David Seidler
David Self
David Seltzer
David Soren
David Spade
David Steiman
David T. Lynch
David Twohy
David Von Ancken
David Wagner
David Wain
David Webb Peoples
David Wechter
David Weisberg
David Wnendt
David Wolstencroft
David Zabel
David Zucker
Dax Shepard
Dean Craig
Dean DeBlois
Dean Devlin
Dean Fleischer Camp
Dean Georgaris
Dean Pitchford
Dean R. Koontz
Debbie Isitt
Deborah Curtis
Deborah Davis
Deborah Dean Davis
Deborah Eisenberg
Deborah Kaplan
Deborah Lipstadt
Deborah Moggach
Debra Granik
Debra Hill
Delia Owens
Demian Fox
Demián Rugna
Denis O'Neill
Denis Villeneuve
Deniz Gamze Ergüven
Dennis Feldman
Dennis Gansel
Dennis Kelly
Dennis Lehane
Dennis Magnusson
Dennis Marks
Dennis McIntyre
Denys Arcand
Deon Taylor
Derek Cianfrance
Derek Connolly
Derek Drymon
Derek Guiley
Derek Kolstad
Derek Lee
Dervis Zaim
Desiree Akhavan
Destin Daniel Cretton
Devon Graye
Diablo Cody
Diane Drake
Diane English
Dianne Houston
Dick Clement
Dick King-Smith
Dick Wolf
Dinah Eng
Dirk Blackman
Dito Montiel
Divya Prakash Dubey
DK Welchman
Dmitriy Sobolev
Dodie Smith
Domee Shi
Dominik Moll
Don Bluth
Don Calame
Don Coscarelli
Don Ferrarone
Don Holley
Don Jakoby
Don Mancini
Don McKellar
Don Michael Paul
Don Payne
Don Rhymer
Don Roos
Donald A. Wollheim
Donald E. Westlake
Donato Carrisi
Dong-Cheol Kim
Dong-hoon Choi
Doris Pilkington
Dorothy Blyskal
Dorothy Kingsley
Doug Atchison
Doug Ellin
Doug Richardson
Doug Wright
Douglas Adams
Douglas Carter Beane
Douglas Cook
Douglas J. Eboch
Douglas McGrath
Douglas Preston
Dr. Seuss
Drake Doremus
Drake Sather
Drew Dowdle
Drew Goddard
Drew Pearce
Duane Adler
Duncan Brantley
Duncan Jones
Duncan Kennedy
Duncan Tucker
Durian Sukegawa
Durul Taylan
Dusan Kovacevic
Dustin Lance Black
Dustin Lee Abraham
Dwain Worrell
Dylan Haggerty
Dylan Kidd
E. Jack Kaplan
E. Max Frye
E.B. White
E.L. Doctorow
E.M. Forster
Ebbe Roe Smith
Ebru Ceylan
Ed Boon
Ed Decter
Ed Horowitz
Ed Scates
Ed Solomon
Ed Stone
Eddie Borey
Eddie Guzelian
Eddie Mensore
Eddie Murphy
Edgar Allan Poe
Edgar Wright
Edith Wharton
Edmond Rostand
Edmond Wong
Edmonde Charles-Roux
Edoardo Albinati
Eduardo Sacheri
Edward Anderson
Edward Berger
Edward Bunker
Edward Burns
Edward Kitsis
Edward Neumeier
Edward Norton
Edward Tang
Edward Yang
Edwin Torres
Efthimis Filippou
Ehren Kruger
Eiichirô Oda
Eileen Chang
Elaine May
Elan Mastai
Eleanor Catton
Eleazar Lipsky
Elena Soarez
Eli Craig
Eli Roth
Elias Belkeddar
Elijah Bynum
Elinor Lipman
Elisa Bell
Elisabeth Burghardt
Elisabeth Sanxay Holding
Eliseo Altunaga
Eliza Hittman
Elizabeth Brundage
Elizabeth Chandler
Elizabeth Hackett
Elizabeth Hunter
Elizabeth Kendall
Elizabeth Livingston
Elizabeth Meriwether
Elizabeth Wood
Elizabeth Wurtzel
Elizabeth Young
Ellen Furman
Ellen Rapoport
Ellory Elkayem
Elmore Leonard
Emerald Fennell
Émile Gaudreault
Émile Zola
Emilio Estevez
Emily Brontë
Emily Carmichael
Emily Halpern
Emily V. Gordon
Emlyn Williams
Emma Donoghue
Emma Jensen
Emma McLaughlin
Emma Seligman
Emma Thompson
Emmanuel Osei-Kuffour
Enda Walsh
Enki Bilal
Enrico Casarosa
Enzo Monteleone
Eran Creevy
Eran Kolirin
Ercan Mehmet Erdem
Eric André
Eric Aronson
Eric Bernt
Eric Bogosian
Eric Bress
Eric Darnell
Eric Eason
Eric England
Eric Falconer
Eric Garcia
Eric Guggenheim
Eric Heisserer
Eric James Virgets
Eric Pearson
Eric Poppen
Eric Red
Eric Roth
Eric Schlosser
Eric Summer
Éric Toledano
Eric Wald
Eric Warren Singer
Erica Beeney
Erica Li
Erica Rivinoja
Erica Schmidt
Erica Xia-Hou
Erich Hoeber
Erich Kästner
Erik Orsenna
Erika Holzer
Erin Cardillo
Erin Cressida Wilson
Ernest Cline
Ernest Gordon
Ernest R. Dickerson
Ernest Riera
Ernest Tidyman
Ernesto 'Che' Guevara
Ernesto Foronda
Ernie Altbacker
Ernie Barbarash
Eshom Nelms
Eskil Vogt
Espen Aukan
Etan Cohen
Ethan Canin
Ethan Coen
Ethan Reiff
Etienne Comar
Eugene Kotlyarenko
Eugène-François Vidocq
Eugenio Derbez
Evan Daugherty
Evan Morgan
Evan Spiliotopoulos
Eve Ahlert
Evgenia Peretz
Ewa Piaskowska
Ewan Leslie
Ezel Akay
F. Scott Frazier
Fabián Bielinsky
Fabien Nury
Fabio Guaglione
Fannie Flagg
Farhan Akhtar
Faruk Kabir
Fatih Akin
Fax Bahr
Fede Alvarez
Federico Moccia
Felipe Braga
Felix Herngren
Feng Li
Fenton Bailey
Ferdinand Bordewijk
Fergal Rock
Fernando León de Aranoa
Fernando Navarro
Fernley Phillips
Fibe Ma
Filippo Bologna
Finn Taylor
Fiona Watson
Flora Greeson
Floria Sigismondi
Florian Henckel von Donnersmarck
Forry Smith
Fran Kranz
Fran Walsh
Frances Goodrich
Frances Hodgson Burnett
Frances Mayes
Francesca Manieri
Francis Annan
Francis Lee
Francis Veber
François Dupeyron
François Ozon
Frank B. Gilbreth Jr.
Frank Baldwin
Frank Cottrell Boyce
Frank Darabont
Frank Dux
Frank Hannah
Frank McCourt
Frank Miller
Frank Sebastiano
Frank Spotnitz
Frankie Chan
Franz-Olivier Giesbert
Fred Breinersdorfer
Fred Cavayé
Fred Dekker
Fred Waitzkin
Fred Wolf
Frédéric Engel Lenoir
Frederick Knott
Fredrica Bailey
Fredrik Backman
Friedrich Dürrenmatt
Fumihiko Takayama
Fyodor Dostoevsky
G.O. Parsons
Gabe Ibáñez
Gabe Sachs
Gabriella Prekop
Gabrielle Bell
Gabrielle Zevin
Galt Niederhoffer
Gareth Dunnet-Alcocer
Gareth Edwards
Gareth Evans
Garon Tsuchiya
Garrard Conley
Garret Shanley
Garrison Keillor
Garth Jennings
Gary Dauberman
Gary Goldman
Gary Hawkins
Gary M. Goodman
Gary Ross
Gary Scott Thompson
Gary Spinelli
Gary Stephen Ross
Gary Whitta
Gary Young
Gaspar Noé
Gaston Leroux
Gauri Shinde
Gautam Siddharth
Gavin Hood
Gavin O'Connor
Gavin Rothery
Gavin Scott
Gavin Wiesen
Gege Akutami
Géla Babluani
Gene Brewer
Gene Roddenberry
Gene Stupnitsky
Geneva Robertson-Dworet
Genndy Tartakovsky
Geoff Deane
Geoff LaTulippe
Geoff Moore
Geoff Rodkey
Geoffrey Fletcher
Geoffrey Panos
Geoffrey Wright
George A. Romero
George Clayton Johnson
George Clooney
George Dawes Green
George Gallo
George Gatins
George Huang
George Lucas
George Michael
George Miller
George Nolfi
George Putnam
George Saunders
George Webster
George Wing
George Zaloom
Georges Chaperot
Gerald Di Pego
Gerald McMorrow
Gerard Barrett
Gerard Bush
Gerard Johnstone
Gérard Lauzier
Gerard Soeteman
Gerard Stembridge
Geremy Jasper
Germán Servidio
Gerry Conlon
Gia Coppola
Giancarlo De Cataldo
Gianni Romoli
Gideon Defoe
Gideon Raff
Gigi Levangie
Gil Kenan
Gilbert Adair
Gilles Adrien
Gilles Mimouni
Gilles Paquet-Brenner
Gillian Flynn
Gillian Robespierre
Gina Prince-Bythewood
Gina Wendkos
Giovanni Arpino
Giovanni Boccaccio
Girish Kohli
Girish Malik
Giuseppe Tornatore
Glen Morgan
Glenn Ficarra
Glenn Gers
Glenn McQuaid
Glenn Standring
Gong Geer
Goran Dukic
Gordan Mihic
Gordon Chan
Götz Spielmann
Graham Greene
Graham Moore
Graham Roland
Graham Yost
Grant Nieporte
Greg Berlanti
Greg Coolidge
Greg DePaul
Greg Erb
Greg Glienna
Greg Iles
Greg Marcks
Greg McLean
Greg Mellott
Greg Mottola
Greg Rucka
Greg Russo
Gregg Araki
Gregg Chabot
Gregg Hurwitz
Gregg Rossen
Gregor Jordan
Gregory Allen Howard
Gregory Burke
Gregory Hansen
Gregory McDonald
Gregory Nava
Gregory Poirier
Gregory Weidman
Gregory Widen
Greta Gerwig
Grímur Hákonarson
Guel Arraes
Guillaume Canet
Guillaume Laurant
Guillaume Pierret
Guillem Morales
Guillermo Arriaga
Guillermo Calderón
Guillermo del Toro
Guillermo Ríos
Gurinder Chadha
Gus Krieger
Gus Van Sant
Gustav Möller
Gustavo Hernández
Gustin Nash
Guy Burt
Guy Busick
Guy de Maupassant
Guy Hibbert
Guy Holmes
Guy Moshe
Guy Nattiv
Guy Ritchie
Guy Thomas
Gwyn Lurie
Gy Waldron
H. Vinoth
H.B. Halicki
H.F. Saint
H.G. Wells
H.P. Lovecraft
Hadi Hajaig
Haidar Ali
Haifaa Al-Mansour
Hajime Isayama
Hal Hartley
Hallie Meyers-Shyer
Halsted Welles
Hamid Amjad
Hamish McColl
Hampton Fancher
Han-min Kim
Hang-jun Jang
Hanif Kureishi
Hank Ketcham
Hank Nelken
Hanna Bergholm
Hannah Fidell
Hannah Shakespeare
Hannes Holm
Hannes Stöhr
Hans Bauer
Hans Christian Andersen
Hanu Raghavapudi
Hany Abu-Assad
Hari Prasad Jakka
Hark Tsui
Harley Peyton
Harman H
Harmony Korine
Harold G. Moore
Harris Goldberg
Harry Cripps
Harry Enfield
Harry Macqueen
Haruki Murakami
Harvey Pekar
Hatem Khraiche
Hayao Miyazaki
Hayden Herrera
Heather Juergensen
Hector Babenco
Heinrich Harrer
Helen Childress
Helen Cross
Helen Edmundson
Helen Fielding
Helen Prejean
Helena Kriel
Heng Liu
Henry Bean
Henry Chaisson
Henry De Vere Stacpoole
Henry Gayden
Henry Gilroy
Henry James
Henry Selick
Herbert Golder
Hergé
Herman Raucher
Hervé Palud
Hideaki Anno
Hilary Henkin
Hillary Seitz
Himanshu Sharma
Hiroaki Samura
Hiromu Arakawa
Hironobu Sakaguchi
Hiroshi Takahashi
Hisaichi Ishii
Hitesh Kewalya
Ho-min Ju
Ho-sik Kim
Holly Brix
Holly Hester
Homer
Homer H. Hickam Jr.
Hossein Amini
Hotaru Okamoto
Houda Benyamina
Howard A. Rodman
Howard Franklin
Howard Stern
Howard Swindle
Hu Hong
Hubert Selby Jr.
Huck Botko
Hugh Lofting
Hugh Wilson
Hui-Ling Wang
Hung Hung
Hunter Richards
Hunter S. Thompson
Hussain Dalal
I. Marlene King
Iain Morris
Ian Deitchman
Ian Fleming
Ian Fried
Ian Goldberg
Ian Helfer
Ian Mackenzie Jeffers
Ian McEwan
Ian McKellen
Ian Nelms
Ian Shorr
Ice Cube
Ifor David Monger
